ID,都道府県コード,都道府県名,地方,年齢5歳階級,年齢,年齢（数値）,元号,和暦（年）,西暦（年）,人口（総数）,人口（男）,人口（女）
100001,1,北海道,北海道・東北,総数,総数,0,大正,9,1920,2359183,1244322,1114861
100002,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,大正,9,1920,376676,190044,186632
100003,1,北海道,北海道・東北,5〜9歳,6~15歳,6,大正,9,1920,319370,161814,157556
100004,1,北海道,北海道・東北,10〜14歳,6~15歳,6,大正,9,1920,270012,138018,131994
100005,1,北海道,北海道・東北,15〜19歳,15~20歳,15,大正,9,1920,239092,125670,113422
100006,1,北海道,北海道・東北,20〜24歳,20代,20,大正,9,1920,208337,109351,98986
100007,1,北海道,北海道・東北,25〜29歳,20代,20,大正,9,1920,175257,96638,78619
100008,1,北海道,北海道・東北,30〜34歳,30代,30,大正,9,1920,157450,86287,71163
100009,1,北海道,北海道・東北,35〜39歳,30代,30,大正,9,1920,143281,78926,64355
100010,1,北海道,北海道・東北,40〜44歳,40代,40,大正,9,1920,127242,70818,56424
100011,1,北海道,北海道・東北,45〜49歳,40代,40,大正,9,1920,97859,55004,42855
100012,1,北海道,北海道・東北,50〜54歳,50代,50,大正,9,1920,76617,43412,33205
100013,1,北海道,北海道・東北,55〜59歳,50代,50,大正,9,1920,53524,29659,23865
100014,1,北海道,北海道・東北,60〜64歳,60代,60,大正,9,1920,44115,23975,20140
100015,1,北海道,北海道・東北,65〜69歳,60代,60,大正,9,1920,33402,17456,15946
100016,1,北海道,北海道・東北,70〜74歳,70代,70,大正,9,1920,21433,10466,10967
100017,1,北海道,北海道・東北,75〜79歳,70代,70,大正,9,1920,10484,4766,5718
100018,1,北海道,北海道・東北,80歳以上,80歳以上,80,大正,9,1920,5032,2018,3014
100019,1,北海道,北海道・東北,総数,総数,0,大正,14,1925,2498679,1305473,1193206
100020,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,大正,14,1925,405607,204576,201031
100021,1,北海道,北海道・東北,5〜9歳,6~15歳,6,大正,14,1925,336438,170315,166123
100022,1,北海道,北海道・東北,10〜14歳,6~15歳,6,大正,14,1925,300821,153388,147433
100023,1,北海道,北海道・東北,15〜19歳,15~20歳,15,大正,14,1925,252275,131986,120289
100024,1,北海道,北海道・東北,20〜24歳,20代,20,大正,14,1925,215391,112790,102601
100025,1,北海道,北海道・東北,25〜29歳,20代,20,大正,14,1925,186159,99237,86922
100026,1,北海道,北海道・東北,30〜34歳,30代,30,大正,14,1925,152114,83238,68876
100027,1,北海道,北海道・東北,35〜39歳,30代,30,大正,14,1925,139774,76040,63734
100028,1,北海道,北海道・東北,40〜44歳,40代,40,大正,14,1925,126620,68948,57672
100029,1,北海道,北海道・東北,45〜49歳,40代,40,大正,14,1925,112769,61572,51197
100030,1,北海道,北海道・東北,50〜54歳,50代,50,大正,14,1925,85288,46801,38487
100031,1,北海道,北海道・東北,55〜59歳,50代,50,大正,14,1925,64998,35637,29361
100032,1,北海道,北海道・東北,60〜64歳,60代,60,大正,14,1925,43812,23516,20296
100033,1,北海道,北海道・東北,65〜69歳,60代,60,大正,14,1925,33679,17441,16238
100034,1,北海道,北海道・東北,70〜74歳,70代,70,大正,14,1925,23395,11550,11845
100035,1,北海道,北海道・東北,75〜79歳,70代,70,大正,14,1925,12971,5829,7142
100036,1,北海道,北海道・東北,80〜84歳,80歳以上,80,大正,14,1925,5054,2084,2970
100037,1,北海道,北海道・東北,85歳以上,80歳以上,80,大正,14,1925,1514,525,989
100038,1,北海道,北海道・東北,総数,総数,0,昭和,5,1930,2812335,1468540,1343795
100039,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,5,1930,445457,224549,220908
100040,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,5,1930,383080,193478,189602
100041,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,5,1930,329334,167701,161633
100042,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,5,1930,296826,154310,142516
100043,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,5,1930,248258,132268,115990
100044,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,5,1930,214713,116156,98557
100045,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,5,1930,180075,97392,82683
100046,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,5,1930,148585,81969,66616
100047,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,5,1930,132094,71915,60179
100048,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,5,1930,117921,63638,54283
100049,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,5,1930,102601,55382,47219
100050,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,5,1930,76118,40916,35202
100051,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,5,1930,55651,29551,26100
100052,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,5,1930,35062,18006,17056
100053,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,5,1930,23986,11630,12356
100054,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,5,1930,14204,6488,7716
100055,1,北海道,北海道・東北,80歳以上,80歳以上,80,昭和,5,1930,8370,3191,5179
100056,1,北海道,北海道・東北,総数,総数,0,昭和,10,1935,3068282,1593845,1474437
100057,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,10,1935,462550,234131,228419
100058,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,10,1935,417967,210495,207472
100059,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,10,1935,372110,188761,183349
100060,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,10,1935,317212,164046,153166
100061,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,10,1935,278229,145037,133192
100062,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,10,1935,234977,126338,108639
100063,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,10,1935,201819,108882,92937
100064,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,10,1935,169407,91739,77668
100065,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,10,1935,136412,75205,61207
100066,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,10,1935,121204,65577,55627
100067,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,10,1935,106400,56631,49769
100068,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,10,1935,90828,47891,42937
100069,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,10,1935,65172,34025,31147
100070,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,10,1935,44236,22517,21719
100071,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,10,1935,25466,12321,13145
100072,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,10,1935,14770,6541,8229
100073,1,北海道,北海道・東北,80歳以上,80歳以上,80,昭和,10,1935,9523,3708,5815
100074,1,北海道,北海道・東北,総数,総数,0,昭和,15,1940,3272012,1695083,1576929
100075,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,15,1940,456318,230441,225877
100076,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,15,1940,430141,217615,212526
100077,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,15,1940,401194,202527,198667
100078,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,15,1940,354389,182608,171781
100079,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,15,1940,291584,150654,140930
100080,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,15,1940,259621,138081,121540
100081,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,15,1940,220332,119732,100600
100082,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,15,1940,190365,103303,87062
100083,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,15,1940,156820,84964,71856
100084,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,15,1940,124292,68003,56289
100085,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,15,1940,109273,58414,50859
100086,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,15,1940,93436,48745,44691
100087,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,15,1940,77004,39157,37847
100088,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,15,1940,51494,25585,25909
100089,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,15,1940,31322,14943,16379
100090,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,15,1940,15130,6743,8387
100091,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,15,1940,6454,2592,3862
100092,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,15,1940,2829,972,1857
100093,1,北海道,北海道・東北,総数,総数,0,昭和,20,1945,3518389,1738623,1779766
100094,1,北海道,北海道・東北,1〜5歳,0〜5歳,5,昭和,20,1945,497219,252253,244966
100095,1,北海道,北海道・東北,6〜10歳,6~15歳,6,昭和,20,1945,447774,226133,221641
100096,1,北海道,北海道・東北,11〜15歳,6~15歳,6,昭和,20,1945,436104,220621,215483
100097,1,北海道,北海道・東北,16〜20歳,15~20歳,15,昭和,20,1945,398031,200381,197650
100098,1,北海道,北海道・東北,21〜25歳,20代,20,昭和,20,1945,296266,125878,170388
100099,1,北海道,北海道・東北,26〜30歳,20代,20,昭和,20,1945,251138,113300,137838
100100,1,北海道,北海道・東北,31〜35歳,30代,30,昭和,20,1945,226494,106578,119916
100101,1,北海道,北海道・東北,36〜40歳,30代,30,昭和,20,1945,205518,104367,101151
100102,1,北海道,北海道・東北,41〜45歳,40代,40,昭和,20,1945,180418,94652,85766
100103,1,北海道,北海道・東北,46〜50歳,40代,40,昭和,20,1945,149246,78458,70788
100104,1,北海道,北海道・東北,51〜55歳,50代,50,昭和,20,1945,116448,62134,54314
100105,1,北海道,北海道・東北,56〜60歳,50代,50,昭和,20,1945,100043,51867,48176
100106,1,北海道,北海道・東北,61〜65歳,60代,60,昭和,20,1945,81130,40623,40507
100107,1,北海道,北海道・東北,66〜70歳,60代,60,昭和,20,1945,62712,30303,32409
100108,1,北海道,北海道・東北,71〜75歳,70代,70,昭和,20,1945,39498,18367,21131
100109,1,北海道,北海道・東北,76〜80歳,70代,70,昭和,20,1945,19655,8543,11112
100110,1,北海道,北海道・東北,81〜85歳,80歳以上,80,昭和,20,1945,7832,3182,4650
100111,1,北海道,北海道・東北,86歳以上,80歳以上,80,昭和,20,1945,2863,983,1880
100112,1,北海道,北海道・東北,総数,総数,0,昭和,25,1950,4295567,2169393,2126174
100113,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,25,1950,663628,338126,325502
100114,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,25,1950,524173,266014,258159
100115,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,25,1950,472030,238681,233349
100116,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,25,1950,455200,230778,224422
100117,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,25,1950,414482,212766,201716
100118,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,25,1950,334066,160615,173451
100119,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,25,1950,276842,133284,143558
100120,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,25,1950,249904,125239,124665
100121,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,25,1950,212512,110617,101895
100122,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,25,1950,182023,96002,86021
100123,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,25,1950,145259,76510,68749
100124,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,25,1950,112609,59652,52957
100125,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,25,1950,92453,47034,45419
100126,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,25,1950,70010,34088,35922
100127,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,25,1950,49493,22882,26611
100128,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,25,1950,26482,11612,14870
100129,1,北海道,北海道・東北,80歳以上,80歳以上,80,昭和,25,1950,14319,5451,8868
100130,1,北海道,北海道・東北,総数,総数,0,昭和,30,1955,4773087,2428833,2344254
100131,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,30,1955,578015,295270,282745
100132,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,30,1955,652105,332268,319837
100133,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,30,1955,520095,263869,256226
100134,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,30,1955,478640,243826,234814
100135,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,30,1955,477693,253023,224670
100136,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,30,1955,417087,217471,199616
100137,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,30,1955,331041,160057,170984
100138,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,30,1955,272037,131605,140432
100139,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,30,1955,244333,123275,121058
100140,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,30,1955,205570,107313,98257
100141,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,30,1955,172800,91056,81744
100142,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,30,1955,136432,71134,65298
100143,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,30,1955,100924,52573,48351
100144,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,30,1955,77641,38436,39205
100145,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,30,1955,54469,25351,29118
100146,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,30,1955,33965,14605,19360
100147,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,30,1955,14856,5922,8934
100148,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,30,1955,5334,1755,3579
100149,1,北海道,北海道・東北,総数,総数,0,昭和,35,1960,5039206,2544753,2494453
100150,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,35,1960,455213,233417,221796
100151,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,35,1960,576230,294325,281905
100152,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,35,1960,650036,330838,319198
100153,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,35,1960,508799,254493,254306
100154,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,35,1960,466201,234547,231654
100155,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,35,1960,456601,236265,220336
100156,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,35,1960,406635,210205,196430
100157,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,35,1960,325295,156892,168403
100158,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,35,1960,265390,128209,137181
100159,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,35,1960,235937,118591,117346
100160,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,35,1960,195596,101257,94339
100161,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,35,1960,161977,84189,77788
100162,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,35,1960,123233,62669,60564
100163,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,35,1960,86454,43470,42984
100164,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,35,1960,61616,29143,32473
100165,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,35,1960,37235,16144,21091
100166,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,35,1960,19025,7503,11522
100167,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,35,1960,7733,2596,5137
100168,1,北海道,北海道・東北,総数,総数,0,昭和,40,1965,5171800,2583159,2588641
100169,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,40,1965,451390,230709,220681
100170,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,40,1965,446543,228280,218263
100171,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,40,1965,564190,287232,276958
100172,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,40,1965,599110,298657,300453
100173,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,40,1965,451306,213227,238079
100174,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,40,1965,443552,218388,225164
100175,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,40,1965,444456,229144,215312
100176,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,40,1965,395352,204354,190998
100177,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,40,1965,314889,151735,163154
100178,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,40,1965,255874,123275,132599
100179,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,40,1965,224639,112246,112393
100180,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,40,1965,184087,94706,89381
100181,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,40,1965,147094,74977,72117
100182,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,40,1965,106628,52674,53954
100183,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,40,1965,69414,33226,36188
100184,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,40,1965,42670,18875,23795
100185,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,40,1965,20537,8142,12395
100186,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,40,1965,10069,3312,6757
100187,1,北海道,北海道・東北,総数,総数,0,昭和,45,1970,5184287,2552806,2631481
100188,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,45,1970,438566,224166,214400
100189,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,45,1970,436424,222706,213718
100190,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,45,1970,434497,221689,212808
100191,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,45,1970,499412,250272,249140
100192,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,45,1970,514232,238736,275496
100193,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,45,1970,432539,204712,227827
100194,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,45,1970,422693,206700,215993
100195,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,45,1970,420657,214338,206319
100196,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,45,1970,373007,190592,182415
100197,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,45,1970,299056,141796,157260
100198,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,45,1970,241113,114136,126977
100199,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,45,1970,206681,101054,105627
100200,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,45,1970,166341,83161,83180
100201,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,45,1970,127461,62533,64928
100202,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,45,1970,86387,40657,45730
100203,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,45,1970,49117,21861,27256
100204,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,45,1970,24514,9733,14781
100205,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,45,1970,11590,3964,7626
100206,1,北海道,北海道・東北,総数,総数,0,昭和,50,1975,5338206,2621285,2716921
100207,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,50,1975,462080,236947,225133
100208,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,50,1975,427004,218215,208789
100209,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,50,1975,423527,216154,207373
100210,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,50,1975,397272,201906,195366
100211,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,50,1975,443148,209711,233437
100212,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,50,1975,515030,246916,268114
100213,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,50,1975,426829,205196,221633
100214,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,50,1975,408639,200120,208519
100215,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,50,1975,404726,205156,199570
100216,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,50,1975,358581,181654,176927
100217,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,50,1975,283864,132779,151085
100218,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,50,1975,226937,105630,121307
100219,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,50,1975,192858,92143,100715
100220,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,50,1975,149505,71924,77581
100221,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,50,1975,107133,50085,57048
100222,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,50,1975,65111,28726,36385
100223,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,50,1975,30348,12470,17878
100224,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,50,1975,14554,4914,9640
100225,1,北海道,北海道・東北,総数,総数,0,昭和,55,1980,5575989,2737089,2838900
100226,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,55,1980,407498,208437,199061
100227,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,55,1980,465277,238711,226566
100228,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,55,1980,425549,217367,208182
100229,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,55,1980,410100,209528,200572
100230,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,55,1980,376820,185415,191405
100231,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,55,1980,460048,223093,236955
100232,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,55,1980,520637,252957,267680
100233,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,55,1980,424505,204233,220272
100234,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,55,1980,401796,196248,205548
100235,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,55,1980,395052,198635,196417
100236,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,55,1980,347590,174360,173230
100237,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,55,1980,273003,126069,146934
100238,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,55,1980,214257,97925,116332
100239,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,55,1980,176035,81875,94160
100240,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,55,1980,129016,59491,69525
100241,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,55,1980,83791,36898,46893
100242,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,55,1980,42863,17393,25470
100243,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,55,1980,20022,7046,12976
100244,1,北海道,北海道・東北,総数,総数,0,昭和,60,1985,5679439,2766296,2913143
100245,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,昭和,60,1985,352073,180019,172054
100246,1,北海道,北海道・東北,5〜9歳,6~15歳,6,昭和,60,1985,405226,207356,197870
100247,1,北海道,北海道・東北,10〜14歳,6~15歳,6,昭和,60,1985,460660,236038,224622
100248,1,北海道,北海道・東北,15〜19歳,15~20歳,15,昭和,60,1985,412479,209552,202927
100249,1,北海道,北海道・東北,20〜24歳,20代,20,昭和,60,1985,376187,183074,193113
100250,1,北海道,北海道・東北,25〜29歳,20代,20,昭和,60,1985,372732,181763,190969
100251,1,北海道,北海道・東北,30〜34歳,30代,30,昭和,60,1985,455435,221540,233895
100252,1,北海道,北海道・東北,35〜39歳,30代,30,昭和,60,1985,511932,247804,264128
100253,1,北海道,北海道・東北,40〜44歳,40代,40,昭和,60,1985,414669,198446,216223
100254,1,北海道,北海道・東北,45〜49歳,40代,40,昭和,60,1985,390732,189084,201648
100255,1,北海道,北海道・東北,50〜54歳,50代,50,昭和,60,1985,382461,190166,192295
100256,1,北海道,北海道・東北,55〜59歳,50代,50,昭和,60,1985,334193,165329,168864
100257,1,北海道,北海道・東北,60〜64歳,60代,60,昭和,60,1985,259909,117754,142155
100258,1,北海道,北海道・東北,65〜69歳,60代,60,昭和,60,1985,198792,88156,110636
100259,1,北海道,北海道・東北,70〜74歳,70代,70,昭和,60,1985,156177,69628,86549
100260,1,北海道,北海道・東北,75〜79歳,70代,70,昭和,60,1985,105601,45579,60022
100261,1,北海道,北海道・東北,80〜84歳,80歳以上,80,昭和,60,1985,58524,23514,35010
100262,1,北海道,北海道・東北,85歳以上,80歳以上,80,昭和,60,1985,30393,10718,19675
100263,1,北海道,北海道・東北,総数,総数,0,平成,2,1990,5643647,2722988,2920659
100264,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,平成,2,1990,291820,149665,142155
100265,1,北海道,北海道・東北,5〜9歳,6~15歳,6,平成,2,1990,345826,176765,169061
100266,1,北海道,北海道・東北,10〜14歳,6~15歳,6,平成,2,1990,396605,202723,193882
100267,1,北海道,北海道・東北,15〜19歳,15~20歳,15,平成,2,1990,443367,226108,217259
100268,1,北海道,北海道・東北,20〜24歳,20代,20,平成,2,1990,364934,176755,188179
100269,1,北海道,北海道・東北,25〜29歳,20代,20,平成,2,1990,355206,169103,186103
100270,1,北海道,北海道・東北,30〜34歳,30代,30,平成,2,1990,361257,175788,185469
100271,1,北海道,北海道・東北,35〜39歳,30代,30,平成,2,1990,442849,214554,228295
100272,1,北海道,北海道・東北,40〜44歳,40代,40,平成,2,1990,495423,238040,257383
100273,1,北海道,北海道・東北,45〜49歳,40代,40,平成,2,1990,399372,189040,210332
100274,1,北海道,北海道・東北,50〜54歳,50代,50,平成,2,1990,375525,179254,196271
100275,1,北海道,北海道・東北,55〜59歳,50代,50,平成,2,1990,367435,179827,187608
100276,1,北海道,北海道・東北,60〜64歳,60代,60,平成,2,1990,319349,155306,164043
100277,1,北海道,北海道・東北,65〜69歳,60代,60,平成,2,1990,243496,107647,135849
100278,1,北海道,北海道・東北,70〜74歳,70代,70,平成,2,1990,178838,76346,102492
100279,1,北海道,北海道・東北,75〜79歳,70代,70,平成,2,1990,130516,54756,75760
100280,1,北海道,北海道・東北,80〜84歳,80歳以上,80,平成,2,1990,76827,30103,46724
100281,1,北海道,北海道・東北,85歳以上,80歳以上,80,平成,2,1990,45204,15394,29810
100282,1,北海道,北海道・東北,総数,総数,0,平成,7,1995,5692321,2736844,2955477
100283,1,北海道,北海道・東北,0〜4歳,0〜5歳,5,平成,7,1995,260027,132618,127409
100284,1,北海道,北海道・東北,5〜9歳,6~15歳,6,平成,7,1995,294029,150901,143128
100285,1,北海道,北海道・東北,10〜14歳,6~15歳,6,平成,7,1995,344617,176055,168562
100286,1,北海道,北海道・東北,15〜19歳,15~20歳,15,平成,7,1995,394609,201737,192872
100287,1,北海道,北海道・東北,20〜24歳,20代,20,平成,7,1995,415477,207782,207695
100288,1,北海道,北海道・東北,25〜29歳,20代,20,平成,7,1995,359523,172479,187044
100289,1,北海道,北海道・東北,30〜34歳,30代,30,平成,7,1995,359859,173236,186623
100290,1,北海道,北海道・東北,35〜39歳,30代,30,平成,7,1995,362359,177080,185279
100291,1,北海道,北海道・東北,40〜44歳,40代,40,平成,7,1995,441130,214022,227108
100292,1,北海道,北海道・東北,45〜49歳,40代,40,平成,7,1995,490810,235671,255139
100293,1,北海道,北海道・東北,50〜54歳,50代,50,平成,7,1995,393416,185470,207946
100294,1,北海道,北海道・東北,55〜59歳,50代,50,平成,7,1995,368787,174462,194325
100295,1,北海道,北海道・東北,60〜64歳,60代,60,平成,7,1995,356898,172580,184318
100296,1,北海道,北海道・東北,65〜69歳,60代,60,平成,7,1995,302906,143846,159060
100297,1,北海道,北海道・東北,70〜74歳,70代,70,平成,7,1995,223036,94498,128538
100298,1,北海道,北海道・東北,75〜79歳,70代,70,平成,7,1995,153307,61266,92041
